"sales_month","sales_month_display","current_month_sale","current_month_freight","current_month_revenue","prev_month_revenue","mom_growth_pct","seasonality_index","total_orders","late_deliveries","late_delivery_rate_pct","growth_classification","cycle_event"
2017-01-01,Jan 2017,120313.00,16875.60,137188.49,,,17.38,789,26,3.30,Slow Period,Regular
2017-02-01,Feb 2017,247304.00,38977.60,286280.62,137188.49,108.68,36.27,1733,62,3.58,Slow Period,Regular
2017-03-01,Mar 2017,374349.00,57704.30,432048.59,286280.62,50.92,54.74,2641,163,6.17,Slow Period,Consumer Day
2017-04-01,Apr 2017,359932.00,52495.00,412422.24,432048.59,-4.54,52.25,2391,193,8.07,Slow Period,Regular
2017-05-01,May 2017,506082.00,80120.40,586190.95,412422.24,42.13,74.27,3660,151,4.13,Slow Period,Regular
2017-06-01,Jun 2017,433046.00,69924.70,502963.04,586190.95,-14.20,63.72,3217,131,4.07,Slow Period,Regular
2017-07-01,Jul 2017,498042.00,86940.80,584971.62,502963.04,16.31,74.11,3969,160,4.03,Slow Period,Regular
2017-08-01,Aug 2017,573979.00,94233.90,668204.60,584971.62,14.23,84.66,4293,151,3.52,Organic/Stable,Regular
2017-09-01,Sep 2017,624406.00,95997.90,720398.91,668204.60,7.81,91.27,4243,243,5.73,Organic/Stable,Regular
2017-10-01,Oct 2017,664221.00,105094.00,769312.37,720398.91,6.79,97.47,4568,264,5.78,Organic/Stable,Regular
2017-11-01,Nov 2017,1010250.00,168872.00,1179143.77,769312.37,53.27,149.39,7451,1172,15.73,Seasonal Peak,Black Friday
2017-12-01,Dec 2017,743915.00,119634.00,863547.23,1179143.77,-26.76,109.41,5624,506,9.00,Organic/Stable,Holiday Season
2018-01-01,Jan 2018,950014.00,157271.00,1107301.89,863547.23,28.23,140.29,7220,526,7.29,Seasonal Peak,Regular
2018-02-01,Feb 2018,844169.00,142731.00,986908.96,1107301.89,-10.87,125.03,6694,1184,17.69,Seasonal Peak,Regular
2018-03-01,Mar 2018,983196.00,171914.00,1155126.82,986908.96,17.04,146.35,7188,1641,22.83,Seasonal Peak,Consumer Day
2018-04-01,Apr 2018,996633.00,163051.00,1159698.04,1155126.82,0.40,146.93,6934,375,5.41,Seasonal Peak,Regular
2018-05-01,May 2018,996502.00,153264.00,1149781.82,1159698.04,-0.86,145.67,6853,624,9.11,Seasonal Peak,Regular
2018-06-01,Jun 2018,865115.00,157553.00,1022677.11,1149781.82,-11.05,129.57,6160,94,1.53,Seasonal Peak,Regular
2018-07-01,Jul 2018,895498.00,163221.00,1058728.03,1022677.11,3.53,134.13,6273,304,4.85,Seasonal Peak,Regular
2018-08-01,Aug 2018,854676.00,148622.00,1003308.47,1058728.03,-5.23,127.11,6452,739,11.45,Seasonal Peak,Regular
